"","DTP","HepB","Polio","Hib3","MMR"
"1",83,16,95,85,86
"2",84,16,96,85,97
"3",83,17,97,84,97
"4",84,17,97,83,98
"5",84,16,97,85,98
"6",85,17,96,85,97
"7",88,17,97,86,97
"8",88,19,24,52,82
"9",89,11,97,87,98
"10",81,11,58,87,87
"11",92,11,54,88,88
"12",94,16,53,90,82
"13",95,17,72,89,83
"14",95,18,79,90,84
"15",96,18,84,90,89
"16",97,19,88,91,88
"17",96,19,91,91,91
"18",97,18,91,93,91
"19",97,19,91,93,92
"20",98,19,90,94,92
"21",99,22,90,93,91
"22",98,20,89,93,91
"23",97,21,90,93,91
"24",99,39,91,94,93
"25",99,48,92,94,93
"26",99,50,92,94,92
"27",99,50,93,93,92
"28",98,53,93,93,92
"29",99,55,94,91,92
"30",98,60,93,84,90
"31",98,64,94,88,90
"32",98,69,94,94,92
"33",97,72,93,93,91
"34",98,74,93,93,92
"35",98,72,93,93,92
"36",98,72,93,93,92
"37",98,64,94,93,92
"38",98,64,94,93,92
